證券代碼,年月,營收成長率,ROE(A)－稅後
1589 永冠-KY,202506,19.82,-1.28
1590 亞德客-KY,202506,6.23,4.5
1591 駿吉-KY,202506,-49.24,-5.73
1593 祺驊,202506,17.05,1.85
1594 日高,202506,9.17,-2.4
1595 川寶,202506,-11.07,-2.07
1597 直得,202506,8.67,0.05
1598 岱宇,202506,-13.15,-4.38
1599 宏佳騰,202506,12.76,-2.6
1602 太電,202506,15.61,3.66
1603 華電,202506,24.85,2.15
1604 聲寶,202506,0.01,1.68
1605 華新,202506,-3.9,0.25
1608 華榮,202506,-5.8,2.64
1609 大亞,202506,5.2,5.73
1611 中電,202506,-7.54,-1.03
1612 宏泰,202506,22.45,3.88
1613 台一,202506,22.25,13.01
1614 三洋電,202506,-2.56,1.21
1615 大山,202506,-4.87,6.23
1616 億泰,202506,18.63,8.9
1617 榮星,202506,-10.7,-2.81
1618 合機,202506,59.13,3.33
1623 大東電,202506,,8.53
1626 艾美特-KY,202506,-7.37,5.02
1702 南僑,202506,-1.79,0.58
1707 葡萄王,202506,-6.86,3.66
1708 東鹼,202506,-10.55,0.38
1709 和益,202506,-26.33,0.64
1710 東聯,202506,-10.47,-1.72
1711 永光,202506,-9.75,-0.97
1712 興農,202506,1.36,3.78
1713 國化,202506,-33.39,2.39
1714 和桐,202506,14.92,2.2
1716 永信藥品,202506,13.58,11
1717 長興,202506,-10.07,1.38
1718 中纖,202506,-2.55,1.65
1720 生達,202506,3.85,2.94
1721 三晃,202506,-36.64,-6.53
1722 台肥,202506,3.18,0.79
1723 中碳,202506,-29.42,1.95
1725 元禎,202506,5.83,-0.2
1726 永記,202506,10.92,1.85
1727 中華化,202506,-3.14,0.4
1730 花仙子,202506,-6.29,3.04
1731 美吾華,202506,6.96,2.49
1732 毛寶,202506,16.29,-0.65
1733 五鼎,202506,16.43,1.62
1734 杏輝,202506,5.67,1.84
1735 日勝化,202506,-17.17,-1.09
1736 喬山,202506,19.38,0.97
1737 臺鹽,202506,6.65,1.34
1742 台蠟,202506,-61.91,-4.02
1752 南光,202506,5.74,2.2
1760 寶齡富錦,202506,-0.52,2.1
1762 中化生,202506,-25.4,-2.03
1773 勝一,202506,8.08,4.72
1776 展宇,202506,-12.23,-1.11
1777 生泰,202506,-5.3,0.69
1780 立弘,202506,11.21,-3.75
1781 合世,202506,-40.77,-10.92
1783 和康生,202506,20,4.08
1784 訊聯,202506,3.96,0.02
1785 光洋科,202506,25.34,-2.18
1786 科妍,202506,-0.51,-0.93
1788 杏昌,202506,-2.45,3.3
1789 神隆,202506,-1.95,0.33
1795 美時,202506,0.09,3.5
1796 金穎生技,202506,44.83,0.11
1799 易威,202506,-11.09,-7.12
1802 台玻,202506,-5.94,-1.89
1805 寶徠,202506,364.59,-0.6
1806 冠軍,202506,10.82,0.21
1808 潤隆,202506,-99.28,-0.65
1809 中釉,202506,0.89,0.25
1810 和成,202506,-1.04,0.44
1813 寶利徠,202506,-0.04,-7.45
1815 富喬,202506,31.82,-0.43
1817 凱撒衛,202506,-7.08,3
1819 豐鼎,202506,45.32,-4.66
1903 士紙,202506,2.17,-0.72
1904 正隆,202506,0.78,-0.23
1905 華紙,202506,-12.39,-1.58
1906 寶隆,202506,0.55,-2.09
1907 永豐餘,202506,-7.84,0.02
1909 榮成,202506,-11.2,-2.14
2002 中鋼,202506,-10.02,-0.7
2006 東和鋼鐵,202506,1.55,3.56
2007 燁興,202506,-21.19,-6.41
2008 高興昌,202506,37.18,1.85
2009 第一銅,202506,-11.69,-0.97
2010 春源,202506,2.73,3.23
2012 春雨,202506,2.35,0.69
2013 中鋼構,202506,21.66,2.71
2014 中鴻,202506,-34.31,-6.12
2015 豐興,202506,-7.33,3.16
2017 官田鋼,202506,-19.9,0.06
2020 美亞,202506,-26.19,2.89
2022 聚亨,202506,2.84,0.24
2023 燁輝,202506,-8.96,-4.01
2024 志聯,202506,-15.11,-0.96
2025 千興,202506,-17.91,-10.31
2027 大成鋼,202506,5.3,1.69
2028 威致,202506,-9.57,1.01
2029 盛餘,202506,10.41,-0.03
2030 彰源,202506,-25.89,-1.39
2031 新光鋼,202506,25.44,8.72
2032 新鋼,202506,2.8,-0.53
2033 佳大,202506,21.74,0.4
2034 允強,202506,-5.99,-3.08
2035 唐榮,202506,-15.32,-14.62
2038 海光,202506,7.67,-0.78
2049 上銀,202506,-4.16,0.28
2056 璋釔,202506,-4.68,-1.21
2059 川湖,202506,68.03,2.72
2061 風青,202506,-9.52,-8.83
2062 橋椿,202506,-25.7,0.33
2063 世鎧,202506,-22.68,0.98
2064 晉椿,202506,-17,-8.16
2065 世豐,202506,-18.96,-4.36
2066 世德,202506,-8.45,-2.95
2067 嘉鋼,202506,10.56,-13.14
2069 運錩,202506,-6.43,1.25
2070 精湛,202506,-17.29,0.28
2071 震南鐵,202506,18.15,3.72
2072 世紀風電,202506,28.21,2.52
2073 雄順,202506,-7.69,-0.45
2101 南港,202506,2.29,-2.34
2102 泰豐,202506,3.82,-16.35
2103 台橡,202506,2.05,-0.16
2104 國際中橡,202506,-12.14,-0.7
2105 正新,202506,-5.58,1.11
2106 建大,202506,-1.83,-0.45
2107 厚生,202506,-35.46,1.1
2108 南帝,202506,-14.19,0.47
2109 華豐,202506,-6.09,0.98
2114 鑫永銓,202506,9.23,2.91
2115 六暉-KY,202506,-8.01,2.21
2201 裕隆,202506,-21.81,0.91
2204 中華,202506,-27.34,1.87
2206 三陽工業,202506,-4.8,3.77
