證券代碼,年月,營收成長率,ROE(A)－稅後
7570 紫金堂,202506,-60.85,-7.76
7575 安美得,202506,3.12,1.76
7578 利百景,202506,-1.52,0.18
7583 國際海洋,202506,,6.25
7584 樂意,202506,-12.15,-3.02
7590 怡和國際,202506,159.04,2.3
7595 世基生醫,202506,68.23,-12.54
7607 通用幹細胞*,202506,104.32,-81.93
7610 聯友金屬-創,202506,-11.71,4.84
7631 聚賢研發-創,202506,-10.23,3.08
7642 昶瑞機電,202506,11.3,2.2
7660 元勛,202506,70.44,0.08
7669 碩正科技,202506,242.13,46.75
7689 大鵬科CLMX,202506,,7.45
7702 前端風電,202506,638.9,3.07
7703 銳澤,202506,45.53,5.06
7704 明遠精密,202506,-10.67,0.86
7705 三商餐飲,202506,2.33,1.46
7706 宏碁創達,202506,5.6,4.39
7707 益芯科,202506,,-5.46
7708 全家餐飲,202506,12.88,4.23
7709 榮田,202506,-27.46,-0.87
7710 東擎科技,202506,12.55,9.37
7711 永擎,202506,267.91,14.65
7712 博盛半導體,202506,-4.1,1.18
7713 威力德生醫,202506,8.1,4.71
7714 創泓科技,202506,33.14,6.48
7715 裕山,202506,-11.18,3.39
7716 昱臺國際,202506,0.77,1.61
7717 萊德光電-KY,202506,60.92,6.96
7718 友鋮,202506,3.15,-0.89
7719 碳基,202506,-49.85,-24.61
7721 微程式,202506,-37.65,0.84
7722 LINEPAY,202506,26.24,0.66
7723 築間,202506,-13.64,-4.97
7724 諾亞克,202506,-9.57,-1.06
7725 列特博,202506,-10.23,-6.81
7726 暄達,202506,-17.37,-3.33
7728 光焱科技,202506,-21.04,0.34
7729 仲恩生醫,202506,,-25.41
7730 暉盛-創,202506,63.09,1.69
7731 火星生技*,202506,44.17,-16.35
7732 金興精密,202506,-6.37,0.03
7734 印能科技,202506,30.79,2.62
7736 虎山,202506,32.27,0.59
7737 凱鈿,202506,-2.05,-28.99
7738 東聯互動,202506,32.5,9.05
7740 熙特爾-創,202506,472.63,8.06
7742 天弘化,202506,-34.42,-14.55
7743 金利食安,202506,17.22,-0.54
7744 崴寶,202506,47.19,7.32
7745 紅陽,202506,-21.22,-5.13
7747 昕奇雲端,202506,6.92,4.72
7748 鑫囍創業,202506,60.98,-6.6
7749 意騰-KY,202506,94.74,4.08
7750 新代,202506,20.61,12.41
7751 竑騰,202506,64.49,9.07
7752 世紀樺欣,202506,405.04,7.51
7753 星亞,202506,26.79,6.33
7754 安基生技,202506,-91.05,-27.16
7756 多那之國際,202506,-0.92,4.14
7757 金色三麥,202506,0.19,6.59
7758 睿騰能源,202506,171.29,10.47
7759 視航生醫,202506,,-22.49
7760 享溫馨,202506,,-0.55
7761 三大未來,202506,162.02,4.54
7762 吉晟生,202506,50.64,1.1
7763 崇舜,202506,,5.02
7764 聖州,202506,3.6,2.92
7765 中華資安,202506,29.72,10.31
7767 仁大資訊,202506,3.86,3.02
7768 頌勝科技,202506,,0.77
7769 鴻勁,202506,128.66,15.69
7770 君曜,202506,28.29,-1.58
7771 綠基,202506,43.54,10.33
7772 耀穎,202506,,-0.24
7773 富禾生醫,202506,134.94,-3.67
7776 奧孟亞,202506,462.57,-15.78
7777 能率亞洲,202506,,4.92
7779 鍇睿國際,202506,2.58,-16.54
7780 大研生醫*,202506,60.46,3.34
7781 昕力資*,202506,17.5,-15.33
7782 光速火箭,202506,-0.98,-0.74
7783 佳運,202506,-6.18,5.39
7784 安邦生技*,202506,,-27.77
7785 北祥科服,202506,9.41,2.63
7786 東方風能,202506,51.8,9.03
7788 松川精密,202506,10.86,-2
7789 開展,202506,3.12,2.13
7790 思必瑞特,202506,39.02,4.07
7791 皇家可口,202506,2.91,3.31
7792 安葆,202506,43,3.5
7794 宏碁智新,202506,,5.67
7795 長廣,202506,-34.41,3.2
7796 擷發科,202506,41.89,-24.84
7797 Q Burger,202506,8.6,6.59
7798 將捷,202506,199.64,1.25
7799 禾榮科,202506,,-6.24
7801 華芸科技,202506,,3.8
7803 雲象科技,202506,,-10.7
7805 威聯通,202506,4.57,3.32
7806 精華生醫,202506,,3.65
7808 訊聯智藥,202506,64.16,-3.48
7810 捷創科技,202506,21.9,2.3
7811 民盛,202506,,-0.47
7812 稜研科技*,202506,61.58,-6.87
7813 宇辰系統,202506,20.37,0.01
7814 海昌生技,202506,,-2.23
7815 新特,202506,33.87,6.92
7816 來穎,202506,83.16,8.55
7818 溢泰實業,202506,,0.3
7819 精誠金融,202506,,5.16
7820 立盈,202506,,2.04
7821 神數,202506,,1.6
7822 倍利科,202506,,18.57
7823 奧義賽博-KY創,202506,,-14.32
7824 智寶,202506,508.99,-4.32
7825 和亞智慧,202506,,3.06
7826 極風雲創,202506,56.01,0.61
7827 漢康-KY,202506,,-62.37
7828 創新服務,202506,,-1.63
7829 思捷優達-KY,202506,,-42.43
7831 捷博,202506,-9.71,-7.61
7832 智新生技*,202506,-45.35,-12.25
7833 綠岩能源,202506,104.04,1.77
7834 來毅數位,202506,112.36,-66.93
7836 智生活,202506,16.47,7.9
7837 啟新生,202506,30.36,7.52
7839 達人網,202506,,6.44
7840 祥圃,202506,,1.68
7841 經貿聯網,202506,17.89,3.68
7842 天能綠電,202506,,4.31
7843 英柏得,202506,1.69,-4.33
7846 德揚,202506,29.15,3.88
7847 豊漁,202506,1,-5.55
7848 騏億鑫,202506,,1.38
7849 旭誼,202506,13.06,19.51
7850 寶泰生醫,202506,,-13.47
7851 慧康生技*-KY,202506,61.76,-39.78
7853 政美應用,202506,61.78,-15.83
7854 佐茂,202506,2.91,-0.51
7855 和運租車,202506,,3.3
7856 漢測,202506,,18.05
7857 合水先進,202506,94.53,8.31
7858 芝普,202506,-9.8,4.59
7860 得生製藥,202506,2.01,3.16
7861 貝爾威勒,202506,85.49,24.36
7862 聚泰,202506,33.94,9.86
7863 中科,202506,14.94,3.49
7865 金聯成,202506,10.32,0.29
7866 丹立,202506,311.19,2.48
7867 特力屋,202506,,3.3
7868 聖育,202506,53.08,4.35
7869 宏于電機,202506,35.43,16.87
7870 聯剛科技,202506,20.61,9.13
7871 安立璽榮-KY,202506,,-353.81
7872 登豐,202506,39.15,3.27
7875 安圖斯,202506,-43.38,8.09
7876 鼎晉生技,202506,,-8.44
7877 海利普,202506,1164.88,2.14
7878 藥祇,202506,,-6.01
7879 益材科技,202506,50.02,3.87
7880 聖凰,202506,1.94,13.15
7881 科明,202506,-4.37,24.4
7882 倍利創投,202506,1401.94,2.11
7883 饗賓,202506,,5.56
7885 宏羚,202506,-17.14,4.58
7886 科建,202506,80.03,3.06
7887 宇川精材,202506,114.69,-19.98
7888 麗寶新藥,202506,,-25.07
7889 騰勢,202506,-1.16,12.99
7890 明曜科技,202506,-21.74,-3.87
7891 博研醫藥,202506,,-34.68
7892 元鈦科,202506,551.21,4.42
7893 睿信,202506,-23.7,10.85
7895 元進莊,202506,7.41,7.77
7896 喬越,202506,23.08,6.88
7897 禾迅綠電,202506,4.53,-4.86
7899 景美,202506,34.54,6.03
7901 大大寬頻,202506,12.2,32.56
7902 宇越生醫*,202506,,-23.75
7904 任開數位,202506,164.91,-719.96
7907 錸恩帕斯,202506,15.31,12.44
8011 台通,202506,-30.64,1.47
8016 矽創,202506,6.2,3.48
8021 尖點,202506,13.79,1.9
8024 佑華,202506,-38.51,-7.84
8027 鈦昇,202506,-25.68,-4.53
8028 昇陽半導體,202506,26.08,2.22
8029 久尹,202506,9.83,-6.16
8032 光菱,202506,29.03,-0.06
8033 雷虎,202506,19.42,3.32
8034 榮群,202506,166.91,4.15
8038 長園科,202506,1129.46,3.21
8039 台虹,202506,-4.11,0.23
8040 九暘,202506,1.29,-0.85
8042 金山電,202506,8.08,0.08
8043 蜜望實,202506,17.81,-1.4
8044 網家,202506,-0.64,-2.38
8045 達運光電,202506,-24.15,-0.12
8046 南電,202506,18.01,-0.42
8047 星雲,202506,13.01,-1.1
8048 德勝,202506,0.54,0.43
8049 晶采,202506,14.98,1.71
8050 廣積,202506,14.05,-2.22
8054 安國,202506,7.54,-2.51
8058 耐特,202506,11.21,4.14
8059 凱碩,202506,1474.5,-20.14
8064 東捷,202506,-23.22,-0.69
8066 來思達,202506,-4.91,-6.51
8067 志旭,202506,-12.24,-7.03
8068 全達,202506,3.41,8.8
8069 元太,202506,38.79,5.15
8070 長華*,202506,11.57,0.62
8071 能率網通,202506,-6.33,-3.62
8072 陞泰,202506,45.6,-0.81
8074 鉅橡,202506,5.44,0.68
8076 伍豐,202506,-9.61,2.05
8077 洛碁,202506,3.91,5.37
8080 泰霖,202506,16.08,1.87
8081 致新,202506,9.18,3.79
8083 瑞穎,202506,5.07,8.47
8084 巨虹,202506,1.74,-5.12
8085 福華,202506,17.38,-4.16
8086 宏捷科,202506,-25.46,1.28
8087 麗升能源,202506,-84.46,-2.85
8088 品安,202506,53.16,-1.74
8089 康全電訊,202506,-87.23,-7.19
8091 翔名,202506,6.55,1.13
8092 建暐,202506,9.61,-0.85
8093 保銳,202506,-10.31,-5.23
8096 擎亞,202506,-5.46,-2.86
8097 常珵,202506,18.44,-4.48
8098 慶康科技,202506,68.45,8.85
8099 大世科,202506,6.25,2.75
8101 華冠,202506,626.67,-0.76
8102 傑霖科技,202506,-33.98,-0.23
8103 瀚荃,202506,6,1.09
8104 錸寶,202506,113.63,1.24
8105 凌巨,202506,17.09,-3.77
8107 大億金茂,202506,7.31,-2.5
8109 博大,202506,8.12,2.86
8110 華東,202506,-12.84,-3.6
8111 立碁,202506,5.58,-4.56
8112 至上,202506,-19.55,1.22
8114 振樺電,202506,83,11.98
8115 帝聞,202506,-11.98,1.22
8119 公信,202506,-1.81,-6.49
8121 越峰,202506,-11.26,-2.47
8131 福懋科,202506,-10.09,-2.15
8147 正淩,202506,55.48,3.62
8150 南茂,202506,-1.27,-2.21
8155 博智,202506,29.01,-0.38
8157 創圓,202506,-13.49,-23.43
8162 微矽電子-創,202506,43.44,2.84
8163 達方,202506,32.8,0.15
8171 天宇,202506,-79.67,-11.6
8176 智捷,202506,-6.67,-1.14
8182 加高,202506,-4.14,-2.48
8183 精星,202506,4.3,-0.57
8201 無敵,202506,-18.33,-3.08
8210 勤誠,202506,50.88,10.89
8213 志超,202506,-1.69,0.98
8215 明基材,202506,-3.69,0.02
8218 輝城,202506,-1.79,-15.92
8222 寶一,202506,23.89,-2.28
8227 巨有科技,202506,59.97,-0.21
8234 新漢,202506,27.79,-0.87
8240 華宏,202506,-6.18,0.62
8249 菱光,202506,-14.1,1.96
8255 朋程,202506,12.43,0.08
8261 富鼎,202506,11.5,1.41
8271 宇瞻,202506,43.99,3.05
8272 全景軟體,202506,27.68,4.26
8277 商丞,202506,20.43,-1.98
8279 生展,202506,17.82,3.97
8284 三竹,202506,7.34,-0.88
8287 英格爾,202506,32.48,7.39
8289 泰藝,202506,25.51,-2.04
8291 尚茂,202506,-88.49,-9
8298 威睿,202506,-20.52,-18.37
8299 群聯,202506,12.55,1.54
8307 大台中,202506,-6.47,17.82
8329 台視,202506,-19.23,-2.9
8341 日友,202506,-3.63,2.76
8342 益張,202506,-2.69,2.39
8345 超秦,202506,16.6,6.92
8349 恒耀,202506,-11.83,-0.1
8354 冠好,202506,6.4,-4.71
8358 金居,202506,10.21,2.5
8359 錢櫃,202506,-5.51,2.13
8367 建新國際,202506,2.92,1.89
8374 羅昇,202506,43.64,2.05
8383 千附,202506,6.45,1.1
8390 金益鼎,202506,-1.18,4.42
8401 白紗科,202506,1.48,4.33
8403 盛弘,202506,-1.74,0.34
8404 百和興業-KY,202506,2.16,1.19
8409 商之器,202506,20.38,-7.23
8410 森田,202506,7.32,-2.42
8411 福貞-KY,202506,-1.32,-0.9
8415 大國鋼,202506,2.06,1.59
8416 實威,202506,10.23,4.71
8421 旭源,202506,-4.73,-3.92
8422 可寧衛*,202506,-12.51,6.19
8423 保綠-KY,202506,7.2,0.86
8424 惠普,202506,0.24,4.59
8426 紅木-KY,202506,9.41,-3.19
8429 金麗-KY,202506,-0.17,0.09
8431 匯鑽科,202506,-1.48,-1.23
8432 東生華,202506,14.31,1.96
8433 弘帆,202506,-20.91,-7.36
8435 鉅邁,202506,-14.55,2.38
8436 大江,202506,-9.16,3.37
8437 大地-KY,202506,-34.71,-0.4
8438 昶昕,202506,1.48,0.58
8440 綠電,202506,-2.8,0.1
8442 威宏-KY,202506,-11.74,0.07
8443 阿瘦,202506,9.18,-4.5
8444 綠河-KY,202506,-35.56,24.75
8446 華研,202506,-26.77,8.11
8450 霹靂,202506,-11.5,-12.87
8454 富邦媒,202506,-2.35,6.78
8455 大拓-KY,202506,11.55,0.78
8458 影一,202506,-29.6,-3.48
8462 柏文,202506,15.57,7.57
8463 潤泰材,202506,17.76,5.52
8464 億豐,202506,3.96,4.72
8466 美吉吉-KY,202506,-13.7,-0.93
8467 波力-KY,202506,3.82,6.61
8472 夠麻吉,202506,75.93,-1.68
8473 山林水,202506,42.32,1.54
8476 台境*,202506,-32.15,2.11
8477 創業家,202506,-50.53,1.69
8478 東哥遊艇,202506,-2.36,5.22
8481 政伸,202506,0.11,2.02
8482 商億-KY,202506,-16.07,1.16
8487 愛爾達-創,202506,27.72,3.97
8488 吉源-KY,202506,3.89,-4.24
8489 三貝德,202506,-5.7,-1.38
8499 鼎炫-KY,202506,-2.31,0.51
8905 裕國,202506,-0.22,0.7
8906 花王,202506,-15.22,-1.09
8908 欣雄,202506,55.26,4.33
8916 光隆,202506,-3.4,1.96
8917 欣泰,202506,22.85,3.82
8921 沈氏,202506,-2.58,-0.45
8923 時報,202506,10.68,0.34
8924 大田,202506,-27.82,3.65
8926 台汽電,202506,-4.29,5.66
8927 北基,202506,-54.81,0.28
8928 鉅明,202506,1.01,-7.93
8929 富堡,202506,-25.28,-2.19
8930 青鋼,202506,1.62,1.79
8931 大汽電,202506,-3.15,4.15
8932 智通*,202506,59.86,8.83
8933 愛地雅,202506,-0.44,-8.13
8935 邦泰,202506,-2.71,-1.84
8936 國統,202506,-4.2,2.93
8937 合騏*,202506,-61.29,-9.01
8938 明安,202506,6.1,-4.44
8940 新天地,202506,-1.61,-2.26
8941 關中,202506,-7.69,-4.17
8942 森鉅,202506,-0.42,-1.24
8945 大新店,202506,-4.62,2.98
8977 南國,202506,-3.27,5.41
8996 高力,202506,48.79,3.82
8999 台灣積層,202506,8.47,3.66
9103 美德醫療-DR,202506,31.53,0.16
910322 康師傅-DR,202506,-9.69,15.28
9105 泰金寶-DR,202506,-24.85,1.43
910861 神州-DR,202506,2.02,-1.28
9110 越南控-DR,202506,3.99,-2.08
911608 明輝-DR,202506,-20.55,-0.78
911622 泰聚亨-DR,202506,36.47,0.86
911868 同方友友-DR,202506,-7.45,-0.08
912000 晨訊科-DR,202506,1.81,0.37
9136 巨騰-DR,202506,-18.7,-2.17
9802 鈺齊-KY,202506,31.96,2.25
9902 台火,202506,138.74,-0.03
9904 寶成,202506,-3.91,1.45
9905 大華,202506,-1.46,1.12
9906 欣巴巴,202506,-76.99,-3.24
9907 統一實,202506,9.99,2.47
9908 大台北,202506,3.82,1.54
9910 豐泰,202506,-8.38,3.14
9911 櫻花,202506,4.64,4.69
9912 偉聯,202506,-1.84,-5.47
9914 美利達,202506,-24.87,2.25
9917 中保科,202506,9.45,5.65
9918 欣天然,202506,7.77,1.59
9919 康那香,202506,-4.1,-6.17
9921 巨大,202506,-25.57,0.7
9924 福興,202506,-2.25,-0.65
9925 新保,202506,2.91,2.68
9926 新海,202506,10.58,3.56
9927 泰銘,202506,-9.85,0.24
9928 中視,202506,-15.51,-1.12
9929 秋雨,202506,-6.44,-0.89
9930 中聯資源,202506,8.91,5.24
9931 欣高,202506,-39.04,1.13
9933 中鼎,202506,-21.56,2.52
9934 成霖,202506,-11.35,0.99
9935 慶豐富,202506,-8.35,-1.55
9937 全國,202506,-7.3,3.07
9938 百和,202506,-3.55,1.52
9939 宏全,202506,2.61,4
9940 信義,202506,-46.5,-0.92
9941 裕融,202506,-2.9,2.79
9942 茂順,202506,2.88,3.32
9943 好樂迪,202506,-12.82,-0.12
9944 新麗,202506,1.43,-0.37
9945 潤泰新,202506,21.62,1.88
9946 三發地產,202506,-95.91,-0.97
9949 琉園,202506,-30.27,-12.37
9950 萬國通,202506,-10.46,-5.1
9951 皇田,202506,18.38,0.71
9955 佳龍,202506,19.61,-2.6
9957 燁聯,202506,-17.54,-17.48
9958 世紀鋼,202506,30.72,3.76
9960 邁達康,202506,-19.62,0.19
9962 有益,202506,-27.58,-2.35
M1100 水泥工業類指數,202506,-10.36,0.82
M1200 食品工業類指數,202506,2.96,3.12
M1300 塑膠工業類指數,202506,-15.89,-2.04
M1400 紡織纖維類指數,202506,-7.57,0.47
M1500 電機機械類指數,202506,2.82,1.74
M1600 電器電纜類指數,202506,-1.49,1.35
M1700 化學生技醫療類指數,202506,0.65,1.28
M1721 化學工業指數,202506,-2.98,1.88
M1722 生技醫療指數,202506,6.87,0.72
M1800 玻璃陶瓷類指數,202506,-4.31,-1.21
M1900 造紙工業類指數,202506,-6.8,-0.42
M2000 鋼鐵工業類指數,202506,-5.25,0.27
M2100 橡膠類指數,202506,-4.93,-0.21
M2200 汽車工業類指數,202506,-13.23,0.52
M2300 電子類指數,202506,22.4,4.25
M2324 半導體業指數,202506,23.59,6.39
M2325 電腦及週邊設備業指數,202506,41.92,3.71
M2326 光電業指數,202506,-0.48,0.14
M2327 通信網路業指數,202506,11.61,2.6
M2328 零組件指數,202506,12.8,2.08
M2329 電子通路業指數,202506,6.35,2.02
M2330 資訊服務業指數,202506,26.48,3.21
M2331 其他電子業指數,202506,15.85,2.64
M2500 建材營造類指數,202506,-12.76,1.39
M2600 航運業類指數,202506,-8.37,1.65
M2700 觀光餐旅類指數,202506,3.55,1.65
M2800 金融保險類指數,202506,-38.07,1.95
M2870 保險,202506,-9.79,2.71
M2871 壽險,202506,-136.94,-2.5
M28HO 金融控股,202506,-36.84,1.99
M2900 貿易百貨類指數,202506,2.07,1.87
M3000 證券,202506,-11.07,2.41
M3500 綠能環保,202506,26.71,-3.87
M3600 數位雲端,202506,-1.18,4.82
M3700 運動休閒,202506,-5.26,1.73
M3800 居家生活,202506,-7.85,2.28
M9700 油電燃氣業指數,202506,-14.48,-1.79
M9900 其他類指數,202506,-5.6,1.98
O1721 OTC 化學工業,202506,6.67,-1.39
O1722 OTC 生技醫療,202506,4.31,-1.35
O2324 OTC 半導體業,202506,7.91,1.44
O2325 OTC 電腦及週邊設備業,202506,18.98,1.46
O2326 OTC 光電業,202506,4.01,1.09
O2327 OTC 通信網路業,202506,11.39,0.84
O2328 OTC 電子零組件,202506,12.08,0.69
O2329 OTC 電子通路業,202506,13.71,-1.31
O2330 OTC 資訊服務業,202506,8.62,2.78
O2331 OTC 其他電子業,202506,19.97,2.11
OTC12 OTC 食品工業,202506,-0.14,4.41
OTC13 OTC 塑膠工業,202506,17.1,-10.53
OTC14 OTC 紡織纖維,202506,10.46,0.23
OTC15 OTC 電機機械,202506,0.73,-0.66
OTC16 OTC 電器電纜,202506,-9.52,-8.83
OTC17 OTC 化學生技,202506,4.57,-1.35
OTC20 OTC 鋼鐵工業,202506,-6.36,-0.37
OTC23 OTC 電子類,202506,11.76,1.29
OTC25 OTC 建材營造,202506,16.09,3.01
OTC26 OTC 航運業,202506,16.82,3.25
OTC27 OTC 觀光餐旅,202506,7,0.06
OTC28 OTC 金融業,202506,-38.26,2.22
OTC30 OTC 證券類,202506,-38.26,2.22
OTC32 OTC 文化創意業,202506,3.1,5.44
OTC33 OTC 農業科技,202506,2.89,-0.94
OTC35 OTC 綠能環保,202506,2.12,1.75
OTC36 OTC 數位雲端,202506,3.19,2.01
OTC37 OTC 運動休閒,202506,-5.31,-2.72
OTC38 OTC 居家生活,202506,4.82,2.92
OTC55 OTC 非電子,202506,2.27,0.6
OTC86 OTC 不含金融電子,202506,2.94,0.41
OTC88 OTC 非金融,202506,8.55,1.01
OTC89 OTC 其它,202506,-2.17,0.5
OTC97 OTC 油電燃氣業,202506,-22.29,2.21
OTC99 OTC 指數,202506,8.25,1.03
T2810 銀行上市櫃及金控旗下,202506,8.47,2.49
T2870 產險上市櫃及金控旗下,202506,-3.47,3.48
T2871 壽險上市櫃及金控旗下,202506,-50.74,-1.96
T3000 證券上市櫃及金控旗下,202506,-17.09,2.63
Y5555 不含電子,202506,-11.17,1.2
Y8886 未含金電,202506,-6.35,0.75
Y8888 不含金融,202506,14.17,2.88
Y9999 加權指數,202506,11.62,2.71
000930 華南永昌證券,202509,5.01,5.03
000960 富邦證券,202509,2.31,5.9
000980 元大證券,202509,5.83,4.21
0009A0 永豐金證券,202509,20.67,7.32
1101 台泥,202509,-4.89,-4.23
1102 亞泥,202509,-8.89,2.02
1103 嘉泥,202509,-6.71,3.82
1104 環泥,202509,0.68,2.45
1108 幸福,202509,-8.09,2.15
1109 信大,202509,0.14,1.15
1110 東泥,202509,-26.65,1.37
1201 味全,202509,-8,1.08
1203 味王,202509,-4.21,3.1
1210 大成,202509,-4.57,3.04
1213 大飲,202509,43.83,-1.66
1215 卜蜂,202509,1.14,7.65
1216 統一,202509,-1.45,4.83
1217 愛之味,202509,-5.66,2.28
1218 泰山,202509,-5.57,1.57
1219 福壽,202509,-1.58,0.6
1220 台榮,202509,1.43,2.05
1225 福懋油,202509,-11.05,2.64
1227 佳格,202509,-4.62,2.16
1229 聯華,202509,16.06,1.88
1231 聯華食,202509,6.18,4.76
1232 大統益,202509,-1.42,5.82
1233 天仁,202509,-2.08,0.95
1234 黑松,202509,-14.57,1.32
1235 興泰,202509,56.83,0
1236 宏亞,202509,4.73,1.02
1240 茂生農經,202509,-0.38,4.45
1256 鮮活果汁-KY,202509,10.89,5.14
1259 安心,202509,-1.69,0.13
1264 德麥,202509,-3.84,6.03
1268 漢來美食,202509,2.49,2.99
1294 漢田生技,202509,-1.4,3.86
1295 生合,202509,-22.71,2.55
1301 台塑,202509,-17.38,-0.22
1303 南亞,202509,-3.38,1.03
1304 台聚,202509,-18.58,-2.76
1305 華夏,202509,-11.6,-1.47
1307 三芳,202509,-8.52,4.59
1308 亞聚,202509,3.07,-1.48
1309 台達化,202509,-34.58,-1.3
1310 台苯,202509,-26.8,-1.8
1312 國喬,202509,11.96,-4.73
1313 聯成,202509,-14.21,-1.22
1314 中石化,202509,-39.31,-1.14
1315 達新,202509,15.71,1.49
1316 上曜,202509,206.12,-0.26
1319 東陽,202509,-14.47,2.49
1321 大洋,202509,-21.93,-0.51
1323 永裕,202509,-14.95,0.2
1324 地球,202509,-3.84,-1.11
1325 恆大,202509,-13.47,-0.16
1326 台化,202509,-19.93,0.68
1336 台翰,202509,-8.58,1.01
1337 再生-KY,202509,-15.69,-3.25
1338 廣華-KY,202509,14.45,0.4
1339 昭輝,202509,-19.7,1.71
1340 勝悅-KY,202509,-228.19,-0.18
1341 富林-KY,202509,-11.94,3.65
1342 八貫,202509,2.4,4.58
1402 遠東新,202509,-8.58,1.47
1409 新纖,202509,-12.67,2.96
1410 南染,202509,-39.86,2.35
1413 宏洲,202509,-29.88,1.24
1414 東和,202509,-19.03,0.7
1416 廣豐,202509,3.13,1.79
1417 嘉裕,202509,-11.33,1.35
1418 東華,202509,-94.02,-3.23
1419 新紡,202509,10.35,3.62
1423 利華,202509,-19.42,7.32
1432 大魯閣,202509,5.28,-1.99
1434 福懋,202509,-8.24,0.92
1435 中福,202509,-49.68,-0.84
1436 華友聯,202509,-50.07,9.31
1437 勤益控,202509,12.77,3.59
1438 三地開發,202509,-98.25,-1.04
1439 雋揚,202509,1923.37,2.48
1440 南紡,202509,-29.81,0.08
1441 大東,202509,-30.53,-5.35
1442 名軒,202509,-77.36,2.16
1443 立益物流,202509,1.73,1.88
1444 力麗,202509,-15.79,-3.35
1445 大宇,202509,-35.12,-0.97
1446 宏和,202509,-86.13,2.91
1447 力鵬,202509,-8.11,-1.07
1449 佳和,202509,-29.4,-1.28
1451 年興,202509,-4.46,1.53
1452 宏益,202509,-24.76,0.71
1453 大將,202509,-3.2,1.21
1454 台富,202509,-12.96,-0.96
1455 集盛,202509,-41,-0.49
1456 怡華,202509,-47.05,-2.07
1457 宜進,202509,-27.52,0.25
1459 聯發,202509,-1.97,4.68
1460 宏遠,202509,-16.79,-1.24
1463 強盛新,202509,-19.25,3.62
1464 得力,202509,-5.43,0.5
1465 偉全,202509,-38.57,1.38
1466 聚隆,202509,-25.75,-1.76
1467 南緯,202509,2.1,0.02
1468 昶和,202509,-23.87,3.76
1470 大統新創,202509,-8.54,2.23
1471 首利,202509,-32.38,-0.37
1472 三洋實業,202509,68.77,3.89
1473 台南,202509,-21.3,-0.57
1474 弘裕,202509,-4.25,0.86
1475 業旺,202509,-33.47,7.18
1476 儒鴻,202509,-3.97,6.17
1477 聚陽,202509,-15.06,6.53
1503 士電,202509,3.43,2.05
1504 東元,202509,8.03,2
1506 正道,202509,7.43,0.82
1512 瑞利,202509,10.29,0.34
1513 中興電,202509,6.33,5.89
1514 亞力,202509,44.35,4.14
1515 力山,202509,-2.8,1.53
1516 川飛,202509,-69.49,3.79
1517 利奇,202509,-18.84,-0.4
1519 華城,202509,8.87,12.93
1521 大億,202509,12.55,0.48
1522 堤維西,202509,44.16,3.6
1524 耿鼎,202509,-13.58,2.68
1525 江申,202509,-17.99,1.38
1526 日馳,202509,26.3,0.35
1527 鑽全,202509,-10.88,2.36
1528 恩德,202509,-17.69,0.78
1529 樂事綠能,202509,34.76,0.94
1530 亞崴,202509,-26.33,3.97
1531 高林股,202509,-16.02,0.93
1532 勤美,202509,75.55,3.33
1533 車王電,202509,85.46,2.21
1535 中宇,202509,21.15,3.2
1536 和大,202509,-18.05,-0.55
1537 廣隆,202509,-27.23,4.24
1538 正峰,202509,8.66,-17.32
1539 巨庭,202509,-4.56,1.44
1540 喬福,202509,18.91,2.51
1541 錩泰,202509,30.92,4.41
1558 伸興,202509,-7.96,2.63
1560 中砂,202509,12.48,4.32
1563 巧新,202509,-0.95,0.49
1565 精華,202509,-17.83,2.13
1568 倉佑,202509,3.08,1.85
1569 濱川,202509,-4.63,-4.48
1570 力肯,202509,-36.97,1.16
1580 新麥,202509,5.63,6.53
1582 信錦,202509,-12.23,2.42
1583 程泰,202509,-7.64,5.73
1584 精剛,202509,-25.13,0.87
1586 和勤,202509,-15.4,-0.23
1587 吉茂,202509,22.87,0.99
1589 永冠-KY,202509,13.42,-3.87
1590 亞德客-KY,202509,11.72,4.57
1591 駿吉-KY,202509,-34.97,-5.66
1593 祺驊,202509,6.15,1.8
1595 川寶,202509,-57.89,-0.82
1597 直得,202509,-0.23,1.26
1598 岱宇,202509,-19.23,1.13
1599 宏佳騰,202509,-50.1,0.26
1603 華電,202509,6.19,2.63
1604 聲寶,202509,-9.12,1.69
1605 華新,202509,-6.15,0.43
1608 華榮,202509,-1.81,17.76
1609 大亞,202509,-0.95,2.19
1611 中電,202509,-8.13,0.87
1612 宏泰,202509,21.89,2.88
1614 三洋電,202509,-18.52,1.3
1615 大山,202509,-24.59,6.21
1616 億泰,202509,26.39,4.92
1617 榮星,202509,-4.89,0.7
1618 合機,202509,-12.66,3.17
1623 大東電,202509,10.96,6.7
1626 艾美特-KY,202509,-19.07,-4.53
1702 南僑,202509,-5.93,0.44
1707 葡萄王,202509,-16.26,4.06
1708 東鹼,202509,-3.91,3.97
1709 和益,202509,-16.78,1.74
1710 東聯,202509,-17.55,-2.66
1711 永光,202509,-11.3,-0.8
1712 興農,202509,-6.22,2.9
1713 國化,202509,7.12,5.09
1714 和桐,202509,17.15,1.91
1717 長興,202509,-10.92,2.24
1718 中纖,202509,6.82,2.52
1720 生達,202509,1.56,4.62
1721 三晃,202509,-25.32,-2.51
1722 台肥,202509,2.2,1.05
1723 中碳,202509,-33.98,1.61
